"ระนอง","ระยอง","ยะลา","ร้อยเอ็ด"
"","","","วัดบูรพาภิรมย์"
"","","","วัดศรีมงคล"
"","","","วัดสาลาวดี"
"","","","วัดโคกหนองบัว"
"","","","วัดฉิมพลีพิจิตราราม"
"","","","วัดชัยสันติธรรม"
"","","","วัดไชยทอง"
"","","","วัดธงชัยโพธาราม"
"","","","วัดป่าศรีโพธิ์ชัย"
"","","","วัดแสงทรังศรี"
"","","","วัดสว่างคงคา"
"","","","วัดหนองขุมเงิน"
"","","","วัดไชยาสะอาด"
"","","","วัดท่าสีดา"
"","","","วัดพลสมบูรณ์"
"","","","วัดโพธาราม"
"","","","วัดสว่างทองย่อย"
"","","","วัดสุทธาราม"
"","","","วัดโสดาราม"
"","","","วัดอัคคาราม"
"","","","วัดอินทนิน"
"","","","วัดป่าศรีศรัทธาธรรม"
"","","","วัดนาเลา"
"","","","วัดเกษตรสมบูรณ์"
"","","","วัดป่าโคกสมบูรณ์"
"","","","วัดป่าธาราวิเวก"
"","","","วัดป่าจตุคามสามัคคี"
"","","","วัดป่าจิก"
"","","","วัดป่าเฉลิมพัฒนา"
"","","","วัดป่าเทพธรรมาราม"
"","","","วัดบ้านปลาคูณ"
"","","","วัดสมุทรชัยศรี"
"","","","วัดประทุมทอง"
"","","","วัดวารีกุฎาราม"
"","","","วัดหนองชำวิมลรัตนโกสิทธิ์"
"","","","วัดธาตุสุนทร"
"","","","วัดบ้านเหล่าข้าว"
"","","","วัดบ่อแก้ว"
"","","","วัดบ้านดงหมากไฟ"
"","","","วัดบ้านสะแบงแตก"
"","","","วัดบุพผาราม"
"","","","วัดศิรินาราม"
"","","","วัดสว่างทุ่งเกษม"
"","","","วัดป่าพุทธอาณา"
"","","","วัดโพธิ์ศรีพุทธิคุณ"
"","","","วัดสามขา"
"","","","วัดป่าศรีโพนทราย"
"","","","วัดเวฬุวันขันธมาลา"
"","","","วัดชัยมงคล"
"","","","วัดพรมจักคณาราม"
"","","","วัดโพธิ์สว่างอารมณ์"
"","","","วัดศรีวิราษฎร์คณาราม"
"","","","วัดศรีสว่างอารมณ์"
"","","","วัดโนนตาล"
"","","","วัดพรหมจริยาราม"
"","","","วัดมิ่งมงคล"
"","","","วัดศิริโพธิ์ใคร"
"","","","วัดสว่างชัยศรี"
"","","","วัดโคกสว่างชัยศรี"
"","","","วัดชัยศรีสว่างวราราม"
"","","","วัดบ้านนาแพง"
"","","","วัดศรีอุดมคณาราม"
"","","","วัดบ้านโนนไชยศรี"
"","","","วัดบ้านหนองขี้ม้า"
"","","","วัดบุญราศรี"
"","","","วัดโพธิ์ศรีสว่าง"
"","","","วัดราชสีมา"
"","","","วัดศรีจันทราราม"
"","","","วัดสิงคาราม"
"","","","วัดนาสีนวล"
"","","","วัดกลางศิริมงคล"
"","","","วัดบ้านโพนทองน้อย"
"","","","วัดโพธาวารี"
"","","","วัดโพธิ์ร้อยต้น"
"","","","วัดสัตตาราม"
"","","","วัดสุทัศน์บูรพา"
"","","","วัดโสมคณาราม"
"","","","วัดหนองเขื่อน"
"","","","วัดธาตุอูปมุง"
"","","","วัดนันทิยาราม"
"","","","วัดโนนทองหลาง"
"","","","วัดฝึกฝน"
"","","","วัดแพงศรี"
"","","","วัดศรีวิลัยมงคล"
"","","","วัดสว่างหนองดง"
"","","","วัดสว่างหนองตอ"
"","","","วัดสว่างหัวงัว"
"","","","วัดหนองโก"
"","","","วัดศรีไพวัลย์"
"","","","วัดดอนม่วย"
"","","","วัดนิคมคณาราม"
"","","","วัดป่าศรีโพนทอง"
"","","","วัดโพนทองใหญ่"
"","","","วัดสุวรรณนิเทศ"
"","","","วัดอรัญญิคาม"
"","","","วัดอินทาวาส"
"","","","วัดโคกพัฒนา"
"","","","วัดชัยพฤกษาราม"
"","","","วัดชัยมงคลคณาราม"
"","","","วัดบวรนิเวศน์"
"","","","วัดหนองนกเป็ด"
"","","","วัดอุทกวราราม"
"","","","วัดศรีวิลัย"
"","","","วัดศรีวิลัยคณาราม"
"","","","วัดสราญรมย์"
"","","","วัดสิริมงคล"
"","","","วัดนิโคสว่าง"
"","","","วัดบ้านหนองใหญ่"
"","","","วัดมธุกาวาส"
"","","","วัดโยคาภิรมย์"
"","","","วัดแสงสว่างอรุณ"
"","","","วัดศรีสุพลธาวาส"
"","","","วัดศรีอุดมวนาราม"
"","","","วัดศิริชัยธาราม"
"","","","วัดอัมไพวัลย์"
"","","","วัดสุขสมบูรณ์"
"","","","วัดป่าศรีสองห้อง"
"","","","วัดป่าโพนทอง"
"","","","วัดป่าวังยาว"
"","","","วัดป่าหนองแสงทุ่ง"
"","","","วัดป่าศรีโคกล่าม"
"","","","วัดชมสะอาด"
"","","","วัดปราสาทวิชัย"
"","","","วัดโพธิ์ชัยศรี"
"","","","วัดประสิทธิ์โพธาราม"
"","","","วัดศรีมณี"
"","","","วัดศรีสุวรรณาราม"
"","","","วัดท่าแสงจันทร์"
"","","","วัดโพธิ์ศรีชัย"
"","","","วัดคู่เมือง"
"","","","วัดหนองเดิ่นชุมพร"
"","","","วัดป่าไพรสณฑ์"
"","","","วัดขอนแก่นใต้"
"","","","วัดขอนแก่นเหนือ"
"","","","วัดแคนใต้"
"","","","วัดแคนเหนือ"
"","","","วัดบ้านป่าบาก"
"","","","วัดบ้านหนองพุก"
"","","","วัดบ้านหนองหุ่ง"
"","","","วัดธรรมจารีนิวาส"
"","","","วัดนิมิตคณาราม"
"","","","วัดประชารังสรรค์"
"","","","วัดศรีพัฒนาราม"
"","","","วัดอุบลนิเวศน์"
"","","","วัดดงลาน"
"","","","วัดดอนสนามชัย"
"","","","วัดธรรมวนาราม"
"","","","วัดบ้านโคกสูง"
"","","","วัดบ้านหนองจิก"
"","","","วัดบ้านเหล่าใหญ่"
"","","","วัดศรีทองไพบูลย์วราราม"
"","","","วัดหนองโปร่ง"
"","","","วัดโชคชัยโนนขวาง"
"","","","วัดบ้านนาโพธิ์"
"","","","วัดมงคลประสิทธิ์"
"","","","วัดศรีสวัสดิ์"
"","","","วัดสวาทอารมณ์"
"","","","วัดหนองบัว"
"","","","วัดโนนรังสิทธิ์"
"","","","วัดป่าโนนรัง"
"","","","วัดผันทนาราม"
"","","","วัดวิเศษไพรสณฑ์"
"","","","วัดเขวาประสาท"
"","","","วัดคุ้มวนาราม"
"","","","วัดป่าเรไร"
"","","","วัดราษฎร์ศิริ"
"","","","วัดราษฎร์อุทิศ"
"","","","วัดคุยมาตย์"
"","","","วัดโคกพิลา"
"","","","วัดท่าอุดมสามัคคี"
"","","","วัดทุ่งสถิตย์"
"","","","วัดประสานศรัทธา"
"","","","วัดปอภาร"
"","","","วัดไตรนิคม"
"","","","วัดโนนสำราญ"
"","","","วัดสุวรรณบุรี"
"","","","วัดบ้านแก่นทราย"
"","","","วัดบ้านเปลือยใหญ่"
"","","","วัดบ้านรอบเมือง"
"","","","วัดเปลือยนอก"
"","","","วัดโพธิ์พงษ์ราษฎร์บูรณะ"
"","","","วัดโพธิ์ศรีแก่นทราย"
"","","","วัดโพธิ์ศรีสะอาด"
"","","","วัดหนองหญ้าม้า"
"","","","วัดหัวแฮด"
"","","","วัดอุดมไพรสณฑ์"
"","","","วัดโกลิยการาม"
"","","","วัดแจ่มอารมณ์"
"","","","วัดชลธารอุดม"
"","","","วัดดอนเป้า"
"","","","วัดราษฎร์บันเทิง"
"","","","วัดศิริไพรวาส"
"","","","วัดสระพังทอง"
"","","","วัดสะอาดสมบูรณ์"
"","","","วัดอรุณสวัสดิ์"
"","","","วัดอุดมไพสณฑ์"
"","","","วัดคานหัก"
"","","","วัดดงสวอง"
"","","","วัดโนนใหญ่"
"","","","วัดสว่างอารมณ์สุข"
"","","","วัดสีแก้ว"
"","","","วัดหนองตาไก้"
"","","","วัดหนองตุ"
"","","","วัดหัวหนอง"
"","","","วัดเหล่าขาม"
"","","","วัดเหล่าตำแย"
"","","","วัดนิเทศสุนทราราม"
"","","","วัดบ้านเล้า"
"","","","วัดประชาราษฎร์"
"","","","วัดประสาทวิทยาราม"
"","","","วัดประสาทศรัทธาธรรม"
"","","","วัดปราสาทธรรมทาน"
"","","","วัดราษฎร์รังสฤษดิ์"
"","","","วัดสุนทรนิเวศน์"
"","","","วัดอุบลนิวาส"
"","","","วัดบ้านดู่"
"","","","วัดบ้านฝาง"
"","","","วัดพูลเกษม"
"","","","วัดโพธิ์เหนือศรีสวัสดิ์"
"","","","วัดศรีธรรมประสาท"
"","","","วัดศรีปทุมวนาราม"
"","","","วัดศรีสะอาด"
"","","","วัดศรีสุพรรณกัลยาอ่างทอง"
"","","","วัดสว่างไพบูลย์"
"","","","วัดสว่างศรีโพธิ์ธาราม"
"","","","วัดหนองยูง"
"","","","วัดกอนประชาราม"
"","","","วัดดงนางย่อง"
"","","","วัดสุรชัย"
"","","","วัดหนองพังทอง"
"","","","วัดอรุณวิเวกธรรมมาราม"
"","","","วัดสาเกตนคร"
"","","","วัดศรีรัตน์"
"","","","วัดเกษมทรัพย์พัฒนาราม"
"","","","วัดโนนงาม"
"","","","วัดป่าศรีไพรวัน"
"","","","วัดโพธิ์รังสฤษดิ์"
"","","","วัดวิมลนิวาส"
"","","","วัดแสนระลึก"
"","","","วัดกกกุงวราราม"
"","","","วัดบัวสูง"
"","","","วัดหัวนา"
"","","","วัดเหล่าหัวภู"
"","","","วัดคูเมือง"
"","","","วัดใต้สูงยาง"
"","","","วัดปทุมวนาราม"
"","","","วัดเหนือสูงยาง"
"","","","วัดบ้านผำใหญ่"
"","","","วัดเมืองสรวงน้อย"
"","","","วัดเมืองสรวงใหญ่"
"","","","วัดท่าสว่าง"
"","","","วัดเมืองสรวงเก่า"
"","","","วัดศรีสุริยาป่ายาง"
"","","","วัดเหล่าฮก"
"","","","วัดเก่าโนนเมือง"
"","","","วัดไตรมิตรธรรมาราม"
"","","","วัดบ้านข่อย"
"","","","วัดหนองหินน้อย"
"","","","วัดป่าศรีดอนกลาง"
"","","","วัดเขวาน้อย"
"","","","วัดหนองไหล"
"","","","วัดโคกกลาง"
"","","","วัดโนนสมบูรณ์"
"","","","วัดบ้านหน้องหญ้าคา"
"","","","วัดโพธิ์สัย"
"","","","วัดโพธิ์สัยน้อย"
"","","","วัดโสกเชือก"
"","","","วัดหนองแสง"
"","","","วัดต้นโพธิ์"
"","","","วัดท่าแร่สามัคคี"
"","","","วัดป่าเม้า"
"","","","วัดป่าเม้าเหนือ"
"","","","วัดเมืองเปลือย"
"","","","วัดโคกข่า"
"","","","วัดบ้านบาก"
"","","","วัดบุมะเขือสามัคคี"
"","","","วัดหนองแดง"
"","","","วัดหนองผักตบ"
"","","","วัดหนองสองห้อง"
"","","","วัดหนองแสบง"
"","","","วัดเหล่าล้อ"
"","","","วัดดอนน้ำคำ"
"","","","วัดบ้านกล้วย"
"","","","วัดบ้านโคกร้าง"
"","","","วัดบ้านสวนจิก"
"","","","วัดหนองแวงยาว"
"","","","วัดเหล่ากุด"
"","","","วัดเหล่าน้อย"
"","","","วัดหนองขุมดิน"
"","","","วัดหนองคูโคก"
"","","","วัดหนองแวงควง"
"","","","วัดหนองแวงน้อย"
"","","","วัดหนองสี่แจ"
"","","","วัดหนองห้างน้อย"
"","","","วัดดอนทราย"
"","","","วัดบ้านโนนสีดา"
"","","","วัดบ้านหนองม่วง"
"","","","วัดป่าโคกศรีรัตนาราม"
"","","","วัดหนองใหญ่"
"","","","วัดประชาคมวนาราม"
"","","","วัดบ้านก่อ"
"","","","วัดโนนเหล่าเอี้ยง"
"","","","วัดสิริมหาวัน"
"","","","วัดโคกฮัง"
"","","","วัดหญ้าหน่อง"
"","","","วัดคำพรินทร์"
"","","","วัดบ้านขี้กา"
"","","","วัดบ้านค้อ"
"","","","วัดเปลือยใหญ่"
"","","","วัดนิกรบำรุง"
"","","","วัดบ้านโคกน้อย"
"","","","วัดบ้านโคกใหญ่"
"","","","วัดบ้านดอกไม้"
"","","","วัดบ้านภูงา"
"","","","วัดบ้านยางเลิง"
"","","","วัดทักษิณชลธาร"
"","","","วัดบ้านจาน"
"","","","วัดสระเคียนชัย"
"","","","วัดสว่างโนนตาด"
"","","","วัดสาหร่ายมังคลาราม"
"","","","วัดฮ่องสังข์"
"","","","วัดท่าสมอ"
"","","","วัดบ้านหว่าน"
"","","","วัดผดุงปริยัติ"
"","","","วัดวานรนิวาส"
"","","","วัดสามัคคีธรรม"
"","","","วัดหนองเม็ก"
"","","","วัดบ้านตาหยวก"
"","","","วัดบ้านสระโพนทอง"
"","","","วัดโพนเดื่อ"
"","","","วัดสว่างทรายทอง"
"","","","วัดเจริญอัมพวัน"
"","","","วัดชัยอำนาจ"
"","","","วัดดงหัวเรือ"
"","","","วัดธาตุนาใหญ่"
"","","","วัดบ้านตาแหลว"
"","","","วัดบ้านนาน้อย"
"","","","วัดบ้านเม็ก"
"","","","วัดบ้านหางเหย"
"","","","วัดป่างูเหลือม"
"","","","วัดโพนยานาง"
"","","","วัดดงสวนผึ้ง"
"","","","วัดบ้านน้ำคำ"
"","","","วัดบ้านเหว่อ"
"","","","วัดประทุมชาติ"
"","","","วัดสระบัว"
"","","","วัดแสงสว่าง"
"","","","วัดกลางมิ่งมงคล"
"","","","วัดใต้ตาเณร"
"","","","วัดธาตุตาเณร"
"","","","วัดปลาข้าว"
"","","","วัดโพนทัน"
"","","","วัดเวฬุวันวราราม"
"","","","วัดสว่างโพธิ์ชัย"
"","","","วัดป่าชัยยาราม"
"","","","วัดลำโกน"
"","","","วัดห้างหว้า"
"","","","วัดอรุณราษฎร์วราราม"
"","","","วัดจำปานคร"
"","","","วัดดงเมืองเก่า"
"","","","วัดด่านน้อย"
"","","","วัดมหิงษาราม"
"","","","วัดยางเครือ"
"","","","วัดหนองพันมูล"
"","","","วัดหนองสิม"
"","","","วัดกู่พระโกนา"
"","","","วัดเจริญราษฎร์"
"","","","วัดดอนธาตุทอง"
"","","","วัดดอนสังข์วนาราม"
"","","","วัดทุ่งลัฎฐิวัน"
"","","","วัดน้ำคำน้อย"
"","","","วัดบ้านสนาม"
"","","","วัดบ้านเหม้า"
"","","","วัดสว่างโพธิ์ทอง"
"","","","วัดเหนือสุวรรณภูมิ"
"","","","วัดเอี่ยมศรัทธา"
"","","","วัดเขมาราม"
"","","","วัดเจริญชัย"
"","","","วัดป่าคีรีวัน"
"","","","วัดอัมพวันธิญาราม"
"","","","วัดคำบอน"
"","","","วัดบรมธงชัย"
"","","","วัดยางคำ"
"","","","วัดขัดเค้าพัฒนา"
"","","","วัดเจริญมงคล"
"","","","วัดทุ่งสามัคคี"
"","","","วัดบ้านตังหมอง"
"","","","วัดบ้านหนองอีเข็ม"
"","","","วัดโพนดวน"
"","","","วัดเล้าข้าว"
"","","","วัดสว่างอารมย์"
"","","","วัดสองชั้น"
"","","","วัดสุทธาวิลัย"
"","","","วัดหินกอง"
"","","","วัดหนองนกเอี้ยง"
"","","","วัดป่าธรรมาวาส"
"","","","วัดป่าพุทธาวาส"
"","","","วัดป่าทรงธรรมิคทายวันวิหาร"
"","","","วัดเหนือเสลภูมิ"
"","","","วัดเกาะแก้ววนาราม"
"","","","วัดโคกเกษมอุทกวราราม"
"","","","วัดดงกลาง"
"","","","วัดดอนกอกราษฎร์บำรุง"
"","","","วัดตาลวนาราม"
"","","","วัดนิคมพัฒนาราม"
"","","","วัดโพธิ์สว่างวนาราม"
"","","","วัดสว่างท่าศรี"
"","","","วัดสว่างสุดาราม"
"","","","วัดอำไพรวัลย์"
"","","","วัดอุดมธานี"
"","","","วัดโพธิ์ไทรดงประเสริฐ"
"","","","วัดเสลภูมิวนาราม"
"","","","วัดตาลตะนาวศรี"
"","","","วัดธรรมประดิษฐาราม"
"","","","วัดศรีวนาราม"
"","","","วัดสระโบสถ์"
"","","","วัดดอนหาด"
"","","","วัดป่าคีลาราม"
"","","","วัดป่าสักดาราม"
"","","","วัดสว่างรังษี"
"","","","วัดเหนือท่าม่วง"
"","","","วัดขันตินิวาส"
"","","","วัดจอมศรีโสภณ"
"","","","วัดทุ่งสว่างโนนโพธิ์"
"","","","วัดบ้านโพธิ์ชัน"
"","","","วัดป่าธรรมารมณ์"
"","","","วัดโพธิ์ศรีวนาราม"
"","","","วัดเลิงท่าสว่าง"
"","","","วัดศิริวัฒนาราม"
"","","","วัดสำราญรมณ์"
"","","","วัดเกาะแก้วเจดีย์"
"","","","วัดโนนสว่างชัยศรี"
"","","","วัดบ้านบ่งเบ้า"
"","","","วัดจริยาสมโพธิ์"
"","","","วัดชมภูวาปี"
"","","","วัดบ้านลาด"
"","","","วัดป่าขี"
"","","","วัดศรีธาตุ"
"","","","วัดศิลาอาสน์"
"","","","วัดสุนทรนิวาส"
"","","","วัดหงษ์รัตนาวาส"
"","","","วัดหนองแป้น"
"","","","วัดหัวกูดินวนาราม"
"","","","วัดคุ้งสะอาดวนาราม"
"","","","วัดโพธิ์ศรีไชยวาน"
"","","","วัดโพธิ์ศรีทอง"
"","","","วัดโกศรีกัญญาราม"
"","","","วัดจันทร์ศิริมังคลราม"
"","","","วัดทุ่งสว่างอารมย์"
"","","","วัดบ้านน้ำจั่นน้อย"
"","","","วัดโพธิ์รังษี"
"","","","วัดนาแพง"
"","","","วัดบ้านสะอาดนาดี"
"","","","วัดธาตุอัมพวัน"
"","","","วัดหนองฟ้า"
"","","","วัดโคตมานุรักษ์"
"","","","วัดจันทราวาส"
"","","","วัดนาทม"
"","","","วัดบ้านหวาย"
"","","","วัดมะหรีชัยพร"
"","","","วัดศรีจอมทอง"
"","","","วัดดอนประดิษฐาราม"
"","","","วัดตาลมวนาราม"
"","","","วัดเทพธิดาเทวัน"
"","","","วัดสมานสามัคคีธรรม"
"","","","วัดสันติวิเวก"
"","","","วัดจันทร์ศิริมัคลาราม"
"","","","วัดดอนแก้ว"
"","","","วัดท่าทางเกวียน"
"","","","วัดท่าบ่อสามัคคี"
"","","","วัดท่าโพธิ์"
"","","","วัดนาดี"
"","","","วัดบึงตาลสามัคคี"
"","","","วัดโพธิ์ศรีวราราม"
"","","","วัดหนองขุ่น"
"","","","วัดโพธิ์บุบผาราม"
"","","","วัดโพธิ์อัมพวัน"
"","","","วัดศรีวิลัยพัฒนาราม"
"","","","วัดสว่างนาวี"
"","","","วัดบ้านหนองเรือ"
"","","","วัดป่าธรรมรังษี"
"","","","วัดโพธิ์ศรีศาสดาราม"
"","","","วัดหนองสำราญ"
"","","","วัดวิลัยสายทอง"
"","","","วัดศรีสว่างวงศ์"
"","","","วัดสันติธรรมอารมณ์"
"","","","วัดมิ่งเมือง"
"","","","วัดขวัญเมือง"
"","","","วัดป่าโคกกุง"
"","","","วัดป่าพุทธกิติธรรม"
"","","","วัดอินทรนิวาส"
"","","","วัดป่าศรีสระพังทอง"
"","","","วัดป่านาเมือง"
"","","","วัดป่าหนองโกศรี"
"","","","วัดป่าโพธิ์สวรรค์"
"","","","วัดสุปัญญาราม"
"","","","วัดโพธิ์ศรีสวรรค์"
"","","","วัดป่าประชานุกุล"
"","","","วัดป่าดอนหวาย"
"","","","วัดวิเวกวนาราม"
"","","","วัดโคศานิศาสตร์"
"","","","วัดปิยะวาส"
"","","","วัดศรีไพรวัลย์"
"","","","วัดศรีสะอาดไพรสาน"
"","","","วัดศีลเจริญ"
"","","","วัดสายแก้วมงคล"
"","","","วัดศรีสะอาดน้ำบ่อ"
"","","","วัดสายแสง"
"","","","วัดแสงสว่างสามัคคีธรรม"
"","","","วัดผดุงสาตยาราม"
"","","","วัดรอยพระพุทธบาทนาคำข่า"
"","","","วัดท่าสะอาดประชาราษฎร์รังสฤษฎ์"
"","","","วัดนันทิยาวาส"
"","","","วัดทรายเขาทอง"
"","","","วัดนิเวศน์วนาราม"
"","","","วัดแสงอรุณ"
"","","","วัดอรุณวนาราม"
"","","","วัดป่าอัมไพรวัลย์"
"","","","วัดป่าอัมไพลวัลย์"
"","","","วัดศรีสว่างโพธิ์ทอง"
"","","","วัดศิริแสงสว่างเจริญธรรม"
"","","","วัดแสงอรุณผดุงสันติ์"
"","","","วัดตาลเดี่ยว"
"","","","วัดศิริดงเจริญ"
"","","","วัดศิริโพธิ์คำ"
"","","","วัดศิริราษฎร์สามัคคีธรรม"
"","","","วัดศิริวนาราม"
"","","","วัดทุ่งเจริญ"
"","","","วัดปิยะวาสบำรุง"
"","","","วัดป่าหนองแข้ดง"
"","","","วัดถ้ำผาน้ำทิพย์"
"","","","วัดเจดีย์ชัยมงคล"
"","","","วัดป่าสุวรรณบรรพต"
"","","","วัดศรีธรรมาวาส"
"","","","วัดป่าสารคันสินธุ์"
"","","","วัดป่าหนองเม็ก"
"","","","วัดป่าศรีอินทราราม"
"","","","วัดป่าโป่งช้าง"
"","","","วัดป่าภูแตงแซง"
"","","","วัดป่าศรีเจริญ"
"","","","วัดป่าเทพมงคล"
"","","","วัดกลางขี้เหล็ก"
"","","","วัดแก้วดวงดี"
"","","","วัดศิริชัยมงคล"
"","","","วัดสว่างจิต"
"","","","วัดสุริยเดชศรีนวล"
"","","","วัดอุดรเหล่าอารีย์"
"","","","วัดตลาดแจ้ง"
"","","","วัดท่าสองคอน"
"","","","วัดพระงามมหาธาตุ"
"","","","วัดสว่างหัวนา"
"","","","วัดเสมาท่าค้อ"
"","","","วัดอดุลสามัคคี"
"","","","วัดคุ้มดงเมืองจอก"
"","","","วัดทุ่งสว่างสำโรง"
"","","","วัดบึงหนองอาราม"
"","","","วัดปัจจิม"
"","","","วัดป่าหว่านไฟ"
"","","","วัดเหล่าลิง"
"","","","วัดกลางบ้านเหล่า"
"","","","วัดพระธาตุ"
"","","","วัดรังตาลสามัคคี"
"","","","วัดสรงตาล"
"","","","วัดสว่างน้ำคำ"
"","","","วัดสอาดบ้านกอก"
"","","","วัดดอนสวนหญ้า"
"","","","วัดทุ่งสว่าง"
"","","","วัดป่าวังเชียม"
"","","","วัดปุรา"
"","","","วัดโสงยาง"
"","","","วัดโนนชัย"
"","","","วัดบ้านเหล่า"
"","","","วัดสงยางขุมเงิน"
"","","","วัดอหิงสาราม"
"","","","วัดจักรวาฬภูมิพินิจ"
"","","","วัดโนนฤๅษี"
"","","","วัดผ่องใส"
"","","","วัดโพธิ์อินทราราม"
"","","","วัดราษฎร์เจริญ"
"","","","วัดเรืองศรี"
"","","","วัดศรีเจริญผล"
"","","","วัดศรีเจริญพร"
"","","","วัดบ้านแดง"
"","","","วัดราศรีไสล"
"","","","วัดสว่างจ้อก้อ"
"","","","วัดห้วยนารี"
"","","","วัดท่ายางชุมน้ำเงิน"
"","","","วัดธีรสิมา"
"","","","วัดบึงแคน"
"","","","วัดศรีหาราษฎร์บำรุง"
"","","","วัดสว่างโหรา"
"","","","วัดดงเจ้าปู่มเหศักดิ์"
"","","","วัดดงสว่างโพธาราม"
"","","","วัดทุ่งสาริกา"
"","","","วัดป่าอาจสามารถ"
"","","","วัดโพธิ์งามสุนทรวาส"
"","","","วัดสว่างโพธาราม"
"","","","วัดหนองขี้เหล็ก"
"","","","วัดอุบลทิพย์"
"","","","วัดป่ายางโง๊ะ"
